Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-06 00:00:00-04:00,266.8244739642971,268.11046403566195,263.244794707822,266.4693908691406,31565600,0.0,0.0
2021-07-07 00:00:00-04:00,268.13925010791996,269.3772670421519,265.97993254914314,268.64788818359375,23260000,0.0,0.0
2021-07-08 00:00:00-04:00,265.74004413313054,267.4963057183195,263.79186075613046,266.2391052246094,24618600,0.0,0.0
2021-07-09 00:00:00-04:00,264.6076006127589,266.8436812511514,264.2237277535544,266.7381286621094,23916700,0.0,0.0
2021-07-12 00:00:00-04:00,267.9089967844055,268.4943978499109,265.4329623197288,266.1431579589844,18931700,0.0,0.0
2021-07-13 00:00:00-04:00,266.3350372176916,271.45023740575635,266.2103012391227,269.6556091308594,26120100,0.0,0.0
2021-07-14 00:00:00-04:00,270.9704378944242,272.2276385475832,269.24296582329544,271.1239929199219,23113700,0.0,0.0
2021-07-15 00:00:00-04:00,270.6345204272743,271.1239752085975,268.55196530906284,269.70361328125,22604200,0.0,0.0
2021-07-16 00:00:00-04:00,270.7016516270204,272.6498347308158,268.19682804350134,269.4348449707031,26186800,0.0,0.0
2021-07-19 00:00:00-04:00,267.688182240101,269.0701477729701,263.38875994905754,265.8455810546875,32935600,0.0,0.0
2021-07-20 00:00:00-04:00,266.82439187701715,269.64590166728937,265.12573977373495,268.0624084472656,26259700,0.0,0.0
2021-07-21 00:00:00-04:00,267.6594734457759,270.17387476827,266.11437541463516,270.0587158203125,24364300,0.0,0.0
2021-07-22 00:00:00-04:00,272.4003154535662,274.8763494100788,271.9972592293282,274.6076354980469,23384100,0.0,0.0
2021-07-23 00:00:00-04:00,275.78798075252445,278.3023809168699,274.95304947678056,277.99530029296875,22768100,0.0,0.0
2021-07-26 00:00:00-04:00,277.3523564681326,278.01454955841905,275.08748623115633,277.40032958984375,23176100,0.0,0.0
2021-07-27 00:00:00-04:00,277.7649628522518,277.90891147588917,271.54614801020494,274.991455078125,33604100,0.0,0.0
2021-07-28 00:00:00-04:00,277.34276730213355,278.4560190983951,272.3907283274344,274.6844177246094,33566900,0.0,0.0
2021-07-29 00:00:00-04:00,274.703624957285,276.9877082127005,274.5500699423065,274.9531555175781,18168300,0.0,0.0
2021-07-30 00:00:00-04:00,273.676715567838,275.1066542513288,272.46748837703086,273.42718505859375,20944800,0.0,0.0
2021-08-02 00:00:00-04:00,274.8187628216139,275.212242025892,272.30436188036447,273.3408508300781,16267400,0.0,0.0
2021-08-03 00:00:00-04:00,273.91665931799884,275.6537080927837,272.5538770462147,275.5481262207031,17879000,0.0,0.0
2021-08-04 00:00:00-04:00,274.68438727940855,275.99916705627766,273.1776564498441,274.96270751953125,16191300,0.0,0.0
2021-08-05 00:00:00-04:00,275.317795323746,277.95696126160766,274.56923306560276,277.85137939453125,13900200,0.0,0.0
2021-08-06 00:00:00-04:00,276.8821288688246,277.83221931412936,276.0279846719422,277.7938232421875,16589300,0.0,0.0
2021-08-09 00:00:00-04:00,278.07213285524966,279.7995752873609,276.2103188203015,276.7093505859375,16117600,0.0,0.0
2021-08-10 00:00:00-04:00,277.16040859309794,277.5922838439448,273.70552373680465,274.8955383300781,18616600,0.0,0.0
2021-08-11 00:00:00-04:00,275.6345110192113,277.0260831007816,274.3389144756151,275.385009765625,13955900,0.0,0.0
2021-08-12 00:00:00-04:00,275.0779315798822,278.2833157631849,274.79961127384786,278.1297607421875,14561300,0.0,0.0
2021-08-13 00:00:00-04:00,277.8130673648045,281.09521434057825,277.640299665323,281.0472412109375,18249000,0.0,0.0
2021-08-16 00:00:00-04:00,281.37344781790824,282.9377579581513,278.33119671669976,282.72662353515625,22507600,0.0,0.0
2021-08-17 00:00:00-04:00,280.605689106435,281.60375243417633,279.34845967777284,281.2678527832031,20075300,0.0,0.0
2021-08-18 00:00:00-04:00,280.8063906085156,283.4794538884407,279.1044566907851,279.5467834472656,21813000,0.56,0.0
2021-08-19 00:00:00-04:00,277.5852494378773,286.0275166816487,277.53718447593633,285.35443115234375,29850500,0.0,0.0
2021-08-20 00:00:00-04:00,288.1909333937579,294.0755159975354,286.5947836444188,292.6524353027344,40817600,0.0,0.0
2021-08-23 00:00:00-04:00,291.58513292551737,293.6524247840349,290.23899143697224,292.9312744140625,22830200,0.0,0.0
2021-08-24 00:00:00-04:00,293.28707625697854,293.892847343343,290.38325427792677,290.9794006347656,18175800,0.0,0.0
2021-08-25 00:00:00-04:00,292.59483645978145,292.87368958556954,288.8641085254896,290.3929443359375,20006100,0.0,0.0
2021-08-26 00:00:00-04:00,289.4120524153368,290.79666345082654,287.4505445681289,287.58514404296875,17666100,0.0,0.0
2021-08-27 00:00:00-04:00,287.4890486022759,289.29673726337023,285.4121315880625,288.19097900390625,22605700,0.0,0.0
2021-08-30 00:00:00-04:00,289.53711917376893,292.51788050210155,289.47942948011064,291.912109375,16348100,0.0,0.0
2021-08-31 00:00:00-04:00,292.71015705794855,292.78706685723137,289.9024652133177,290.2678527832031,26285300,0.0,0.0
2021-09-01 00:00:00-04:00,291.2197911507648,293.4505570216653,289.89286956645867,290.21978759765625,18983800,0.0,0.0
2021-09-02 00:00:00-04:00,290.5755767585639,291.69093033858195,288.6332593639689,289.5659484863281,16285600,0.0,0.0
2021-09-03 00:00:00-04:00,289.4121123902904,290.96019740569926,288.7102113426839,289.5563659667969,14747900,0.0,0.0
2021-09-07 00:00:00-04:00,289.4314211233399,289.50833094869637,286.72951234837865,288.6333312988281,17180400,0.0,0.0
2021-09-08 00:00:00-04:00,288.2486568040006,289.04671710020153,286.0275156464967,288.662109375,15046800,0.0,0.0
2021-09-09 00:00:00-04:00,289.24866239641324,290.5178943078141,285.5755955060056,285.81597900390625,19927000,0.0,0.0
2021-09-10 00:00:00-04:00,286.9409832920089,288.38328426235665,284.01791177587137,284.335205078125,19633400,0.0,0.0
2021-09-13 00:00:00-04:00,286.1043745569801,287.0563129863409,282.767851049367,285.56591796875,23652900,0.0,0.0
2021-09-14 00:00:00-04:00,288.0371373862397,289.79676112846977,286.6333058908585,288.25830078125,21853400,0.0,0.0
2021-09-15 00:00:00-04:00,291.59476661194844,293.5755240081629,290.21015551156955,293.0947570800781,28356300,0.0,0.0
2021-09-16 00:00:00-04:00,292.07562999255686,293.5659962243114,289.1910274714622,293.4794616699219,19550800,0.0,0.0
2021-09-17 00:00:00-04:00,292.4698499713523,292.78714332382805,288.0083175119213,288.3352355957031,41372500,0.0,0.0
2021-09-20 00:00:00-04:00,284.93137463486613,287.22945511957835,278.38333004418814,282.9794616699219,38278700,0.0,0.0
2021-09-21 00:00:00-04:00,284.3159844038209,286.09482813249366,282.7583040538949,283.460205078125,22364100,0.0,0.0
2021-09-22 00:00:00-04:00,285.3159429755358,288.67168664091787,283.18133670640134,287.0947570800781,26626300,0.0,0.0
2021-09-23 00:00:00-04:00,287.3544589280449,289.32559200827507,286.08522692976766,288.0371398925781,18604600,0.0,0.0
2021-09-24 00:00:00-04:00,286.75820049672654,288.26778607600784,285.50818910413636,287.8351135253906,14999000,0.0,0.0
2021-09-27 00:00:00-04:00,284.7486847699523,285.0659780697312,281.67176431973326,282.8544616699219,23571700,0.0,0.0
2021-09-28 00:00:00-04:00,278.65250629111523,279.5948200559048,271.8737041842086,272.61407470703125,43186200,0.0,0.0
2021-09-29 00:00:00-04:00,274.1333156978042,275.73906084869554,272.123713405147,273.07562255859375,26353700,0.0,0.0
2021-09-30 00:00:00-04:00,274.71981454324316,276.7582615099041,270.7871448115844,271.07562255859375,32343600,0.0,0.0
2021-10-01 00:00:00-04:00,271.2679145751983,278.82558560260657,270.4698544217859,277.97943115234375,30086300,0.0,0.0
2021-10-04 00:00:00-04:00,276.3448682644361,276.6814110362589,269.4699059701531,272.2198791503906,31350700,0.0,0.0
2021-10-05 00:00:00-04:00,273.1237412861691,279.22948850924683,273.1237412861691,277.652587890625,24993000,0.0,0.0
2021-10-06 00:00:00-04:00,274.78714430445336,282.3351909458261,274.52754072695535,281.8351745605469,28002600,0.0,0.0
2021-10-07 00:00:00-04:00,283.825594084445,285.22945482720434,282.6140812194665,283.50830078125,20430500,0.0,0.0
2021-10-08 00:00:00-04:00,284.82559764308587,285.22945482720434,282.46023226093035,283.50830078125,17685700,0.0,0.0
2021-10-11 00:00:00-04:00,281.6525631685585,286.50829832033395,281.489089470964,282.91217041015625,19298600,0.0,0.0
2021-10-12 00:00:00-04:00,283.9794400643769,284.0755993304145,281.10446287508915,281.61407470703125,17974100,0.0,0.0
2021-10-13 00:00:00-04:00,283.56602852194857,285.8448596726452,282.2006371715357,284.91217041015625,23416300,0.0,0.0
2021-10-14 00:00:00-04:00,287.70062258890977,291.6044488603404,286.37370077714104,291.1044616699219,27262900,0.0,0.0
2021-10-15 00:00:00-04:00,290.7102062536316,292.73905839342854,288.9602072094581,292.5082702636719,25384800,0.0,0.0
2021-10-18 00:00:00-04:00,291.8929101341572,296.3544130437195,291.04675544173375,295.4698181152344,22729300,0.0,0.0
2021-10-19 00:00:00-04:00,296.489006090617,297.40244575766764,295.4024680074294,296.3736267089844,17682100,0.0,0.0
2021-10-20 00:00:00-04:00,297.31598543961144,297.7871571571462,294.33522351404,295.5852355957031,16537100,0.0,0.0
2021-10-21 00:00:00-04:00,295.3544316768825,299.0563143524255,294.5755620879851,298.80633544921875,16918100,0.0,0.0
2021-10-22 00:00:00-04:00,298.46011490450775,299.1235756390308,295.960120910737,297.267822265625,17449300,0.0,0.0
2021-10-25 00:00:00-04:00,297.460041901067,297.4985114640757,294.67160012835103,296.2773742675781,17554500,0.0,0.0
2021-10-26 00:00:00-04:00,299.03708430610516,300.3832260837612,296.7294084953105,298.1813049316406,28107300,0.0,0.0
2021-10-27 00:00:00-04:00,303.8447410132644,313.55624018654,303.8447410132644,310.73895263671875,52588700,0.0,0.0
2021-10-28 00:00:00-04:00,311.8543467291355,312.37358336767323,308.9985892327168,311.87359619140625,26297900,0.0,0.0
2021-10-29 00:00:00-04:00,311.6620413582326,319.2293097590361,311.4408779594298,318.8639221191406,34766000,0.0,0.0
2021-11-01 00:00:00-04:00,318.61388266615893,318.73888677742633,313.81583753903345,316.700439453125,27073200,0.0,0.0
2021-11-02 00:00:00-04:00,317.60426323174084,320.6234937918966,317.3061900673543,320.3157958984375,26487100,0.0,0.0
2021-11-03 00:00:00-04:00,321.05615397648955,322.0176878484429,317.9311688926411,321.1523132324219,21500100,0.0,0.0
2021-11-04 00:00:00-04:00,320.08507064099814,323.59466390839987,316.83508099254163,323.4985046386719,23992200,0.0,0.0
2021-11-05 00:00:00-04:00,325.4889184823601,325.75814685735793,321.55624752371233,323.1331481933594,22570100,0.0,0.0
2021-11-08 00:00:00-05:00,324.3254169521455,324.661959731768,321.5754437081741,324.02734375,20897000,0.0,0.0
2021-11-09 00:00:00-05:00,324.14263606886954,325.69072070181716,321.6618918462256,323.02728271484375,21307400,0.0,0.0
