Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-05 00:00:00+05:30,2912.751969004065,2940.6418741531165,2877.889587567751,2894.44921875,1972858,0.0,0.0
2021-07-06 00:00:00+05:30,2887.4770937903954,2900.550488419691,2837.8854352765143,2843.2890625,2159420,0.0,0.0
2021-07-07 00:00:00+05:30,2854.357585378772,2861.068551496173,2825.2475809189878,2854.31396484375,2640710,0.0,0.0
2021-07-08 00:00:00+05:30,2874.4024206222666,2874.4024206222666,2816.7922688010135,2839.975830078125,2485811,0.0,0.0
2021-07-09 00:00:00+05:30,2832.567861149529,2860.4577600900784,2789.861453396813,2796.093017578125,6365067,0.0,0.0
2021-07-12 00:00:00+05:30,2819.49457096593,2820.366130338717,2778.8364113386365,2782.976318359375,1892226,0.0,0.0
2021-07-13 00:00:00+05:30,2801.192601831849,2801.192601831849,2767.2017768562914,2778.139892578125,1809339,0.0,0.0
2021-07-14 00:00:00+05:30,2777.6596400020444,2808.164217159268,2775.916521307346,2801.671142578125,2044279,0.0,0.0
2021-07-15 00:00:00+05:30,2819.184519112929,2822.896730614884,2789.836126410262,2797.653564453125,2232968,7.0,0.0
2021-07-16 00:00:00+05:30,2806.4321146858747,2812.4154119318237,2788.089421125836,2790.53515625,1256526,0.0,0.0
2021-07-19 00:00:00+05:30,2777.6074802121598,2794.902060002589,2774.1136343251005,2781.62548828125,1597058,0.0,0.0
2021-07-20 00:00:00+05:30,2781.6259668093744,2808.1791148200396,2756.775813064705,2800.143310546875,1811945,0.0,0.0
2021-07-22 00:00:00+05:30,2786.342357051715,2816.8697957122436,2786.342357051715,2809.358154296875,2859334,0.0,0.0
2021-07-23 00:00:00+05:30,2821.2805602259114,2831.369082897258,2800.88514951478,2806.30078125,1776193,0.0,0.0
2021-07-26 00:00:00+05:30,2795.076949858996,2816.2583923696466,2787.0848620044726,2792.93701171875,1259611,0.0,0.0
2021-07-27 00:00:00+05:30,2795.0768878645167,2803.8115031390935,2761.142822223809,2780.184326171875,1121367,0.0,0.0
2021-07-28 00:00:00+05:30,2784.5955513391964,2798.963951857688,2736.0310015940213,2793.155517578125,1660654,0.0,0.0
2021-07-29 00:00:00+05:30,2795.296041931866,2817.3072359847115,2786.605139931036,2791.4091796875,1731997,0.0,0.0
2021-07-30 00:00:00+05:30,2811.6727376362114,2815.603314622655,2762.191225983625,2766.645751953125,2999943,0.0,0.0
2021-08-02 00:00:00+05:30,2777.6074324192127,2816.825766527671,2766.25243348165,2812.021728515625,2608669,0.0,0.0
2021-08-03 00:00:00+05:30,2820.4069892493094,2873.688137079662,2811.6286591294147,2869.2333984375,3804735,0.0,0.0
2021-08-04 00:00:00+05:30,2882.4226577298195,2886.96461441979,2848.5323123167254,2859.6689453125,2929598,0.0,0.0
2021-08-05 00:00:00+05:30,2860.586370931835,2895.5248304241322,2849.668102340492,2868.40380859375,2534521,0.0,0.0
2021-08-06 00:00:00+05:30,2858.446469339697,2903.3860207844823,2851.851792377056,2890.98291015625,2292362,0.0,0.0
2021-08-09 00:00:00+05:30,2903.298355204732,2914.7407852103993,2891.157326654606,2902.250244140625,1510489,0.0,0.0
2021-08-10 00:00:00+05:30,2896.049271108757,2926.008832406461,2896.049271108757,2912.033447265625,2040777,0.0,0.0
2021-08-11 00:00:00+05:30,2926.0961488608095,2934.8307642305435,2906.0939649630977,2921.030029296875,1929707,0.0,0.0
2021-08-12 00:00:00+05:30,2905.132878638491,2941.8182607499816,2905.132878638491,2927.62451171875,1310205,0.0,0.0
2021-08-13 00:00:00+05:30,2935.4857463855783,3039.646030624656,2932.646996500656,3025.146484375,4363584,0.0,0.0
2021-08-16 00:00:00+05:30,3022.176753470583,3052.180240931902,3001.6504084686876,3033.488037109375,2083489,0.0,0.0
2021-08-17 00:00:00+05:30,3041.480342454519,3110.221719131916,3024.7971426810414,3103.452392578125,4336019,0.0,0.0
2021-08-18 00:00:00+05:30,3121.6207437384664,3140.094370801781,3089.084299979811,3110.003662109375,2631309,0.0,0.0
2021-08-20 00:00:00+05:30,3062.3559918055994,3122.6248347703986,3057.1152228521387,3109.086181640625,2836148,0.0,0.0
