Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-06 00:00:00-04:00,136.53351700878477,139.53574001915328,136.53351700878477,138.4342803955078,108181800,0.0,0.0
2021-07-07 00:00:00-04:00,139.91588320227135,141.23180423568894,139.0581116318865,140.91989135742188,104911600,0.0,0.0
2021-07-08 00:00:00-04:00,138.00541248474633,140.42279367497855,137.11838445022283,139.62350463867188,105575500,0.0,0.0
2021-07-09 00:00:00-04:00,139.1458132863032,141.97258743167365,139.04833216120844,141.44622802734375,99890800,0.0,0.0
2021-07-12 00:00:00-04:00,142.51848639937432,142.62570970674338,140.364278087154,140.85165405273438,76299700,0.0,0.0
2021-07-13 00:00:00-04:00,140.39353920017592,143.73694652851253,140.00364432229037,141.962890625,100827100,0.0,0.0
2021-07-14 00:00:00-04:00,144.36076918149035,145.79365573228569,143.95136027537654,145.38424682617188,127050800,0.0,0.0
2021-07-15 00:00:00-04:00,145.4720070192926,146.21281325196273,143.37628110522587,144.73118591308594,106820300,0.0,0.0
2021-07-16 00:00:00-04:00,144.7116829108476,145.97884856339024,142.1968210625346,142.69393920898438,93251400,0.0,0.0
2021-07-19 00:00:00-04:00,140.12060468938105,140.43253247911716,138.09311867670348,138.85342407226562,121434600,0.0,0.0
2021-07-20 00:00:00-04:00,139.83793618290784,143.38603306380864,139.35056015600642,142.4600067138672,96350000,0.0,0.0
2021-07-21 00:00:00-04:00,141.85563485293181,142.44049190950972,140.97836414159778,141.72891235351562,74993500,0.0,0.0
2021-07-22 00:00:00-04:00,142.25523424527083,144.45816724914033,142.12851179256327,143.09352111816406,77338200,0.0,0.0
2021-07-23 00:00:00-04:00,143.8246792903466,144.9651374939281,143.21058069090384,144.80917358398438,71447400,0.0,0.0
2021-07-26 00:00:00-04:00,144.52647939059113,146.04709009069717,143.97086362595675,145.22830200195312,72434100,0.0,0.0
2021-07-27 00:00:00-04:00,145.35498894389306,145.44272791296905,141.87513262554674,143.0643310546875,104818600,0.0,0.0
2021-07-28 00:00:00-04:00,141.15378253150473,143.25924964240136,138.9410921453255,141.31948852539062,118931200,0.0,0.0
2021-07-29 00:00:00-04:00,141.03687913486968,142.84991857675627,140.92965581242072,141.962890625,56699500,0.0,0.0
2021-07-30 00:00:00-04:00,140.73469364228038,142.63545700170118,140.47150644681145,142.1773223876953,70440600,0.0,0.0
2021-08-02 00:00:00-04:00,142.66467417357075,143.23977416644965,141.5826990796388,141.84588623046875,62880000,0.0,0.0
2021-08-03 00:00:00-04:00,142.12853625880044,144.30222828215528,141.51443795738555,143.639404296875,64786600,0.0,0.0
2021-08-04 00:00:00-04:00,143.55170433223327,144.05856456840556,142.5866946784069,143.23977661132812,56368300,0.0,0.0
2021-08-05 00:00:00-04:00,143.2690181917266,144.10730535100612,142.47947159810346,143.3470001220703,46397700,0.0,0.0
2021-08-06 00:00:00-04:00,142.86867690985883,143.61059289976055,142.16580285802874,142.66366577148438,54126800,0.22,0.0
2021-08-09 00:00:00-04:00,142.72223685529076,143.21034301067533,142.05841963396023,142.61485290527344,48908700,0.0,0.0
2021-08-10 00:00:00-04:00,142.9565198163916,144.19631350606738,141.84363848192044,142.13650512695312,69023100,0.0,0.0
2021-08-11 00:00:00-04:00,142.57581781429272,143.2298783064216,142.06818321748432,142.3903350830078,48493500,0.0,0.0
2021-08-12 00:00:00-04:00,142.71251102910742,145.50447943892834,142.3708306879483,145.34828186035156,72282600,0.0,0.0
2021-08-13 00:00:00-04:00,145.42635605950554,145.88517705910473,144.7430103885552,145.5532684326172,59375000,0.0,0.0
2021-08-16 00:00:00-04:00,145.0065628373872,147.59353426907154,142.9858112009547,147.5251922607422,103296000,0.0,0.0
2021-08-17 00:00:00-04:00,146.65635150331968,148.07185618392833,145.54347021491796,146.6173095703125,92229700,0.0,0.0
2021-08-18 00:00:00-04:00,146.2366215497856,147.13473517673972,142.67343732669485,142.87844848632812,86326000,0.0,0.0
2021-08-19 00:00:00-04:00,141.5800696426097,144.4794213850425,141.0626783117476,143.21034240722656,86960300,0.0,0.0
2021-08-20 00:00:00-04:00,143.9327728785443,144.96755574158394,143.288469055807,144.66493225097656,60549600,0.0,0.0
2021-08-23 00:00:00-04:00,144.78202147056598,146.61730507779947,144.3720141553827,146.1487274169922,60131800,0.0,0.0
2021-08-24 00:00:00-04:00,145.89492826143862,147.27139120779157,145.60206158624175,146.06088256835938,48606400,0.0,0.0
