Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_7,MA_30,MA_90,Return_1d,Return_7d,Return_30d,Volatility_7d,Volatility_30d,Volume_MA7,Volume_Ratio,RSI_14,Price_above_MA30,Price_above_MA90,MA_cross,market_cap,pe_ratio,revenue,profit_margins,debt_to_equity,operating_margins,earnings_growth,revenue_growth,current_ratio,return_on_equity,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,high_debt,strong_roe,healthy_current_ratio,financial_health_score,ticker
2021-11-09 05:00:00+00:00,146.84107977637362,148.0435691533501,146.70421118808,147.43743896484375,56787900,0.0,0.0,147.0762176513672,143.04082794189452,143.73617536756728,0.002459342518821,0.0082114927090746,0.06426654521403,0.0061941690275345,0.0104950093723483,62269871.42857143,0.9119643046820854,56.16655715953052,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-10 05:00:00+00:00,146.66511965093986,146.7726603269792,144.54364896685252,144.61207580566406,65187100,0.0,0.0,146.9612819126674,143.21348368326824,143.80481753879124,-0.0191631323700175,-0.0055327247864224,0.0371482676106678,0.0097628237499112,0.0111522680317013,60926842.85714286,1.069924140872461,46.05295646850089,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-11 05:00:00+00:00,145.62883774477925,146.0883134852804,144.37744845730748,144.56320190429688,41000000,0.0,0.0,146.69154357910156,143.42778879801432,143.84529876708984,-0.0003379655612776,-0.0128928007425006,0.0465428582885227,0.0091489741862911,0.0109774493755192,56909414.28571428,0.7204431905441706,48.14519785658776,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-12 05:00:00+00:00,145.11066161989166,147.03660782102534,144.18190939663026,146.6357879638672,63804000,0.0,0.0,146.51288277762276,143.67375844319662,143.92321302625868,0.0143368854056125,-0.0084566633277906,0.0529891159937618,0.010208598824504,0.0111622291757607,58236914.28571428,1.0955937618358902,54.27263505218754,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-15 05:00:00+00:00,147.00727451410145,148.48351596746593,146.08829332480207,146.6455535888672,59222800,0.0,0.0,146.40953063964844,144.03426971435547,143.9809833102756,6.659782809914638e-05,-0.0049092066495092,0.0796239489027406,0.0101617533644749,0.0099992685571023,58069514.28571428,1.0198604332836556,52.54081980929699,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-16 05:00:00+00:00,146.58690654221206,148.102247003654,146.00031832566742,147.62319946289062,59256200,0.0,0.0,146.37042672293526,144.36326599121094,144.0562227037218,0.0066667270169291,-0.0018507985444112,0.0716490095428554,0.010439369579964,0.0097922073075958,57182700.0,1.0362609670407308,56.5043812739124,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-17 05:00:00+00:00,147.6232038564801,151.53375230300938,147.61343285568483,150.05752563476562,88807000,0.0,0.0,146.79639761788505,144.74444529215495,144.14616309271918,0.0164901328567055,0.0202738839196556,0.0824931607846608,0.0117980509923128,0.0101053889056165,62009285.71428572,1.4321564742607673,53.36571973798682,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-18 05:00:00+00:00,150.2726099643279,155.12168178008048,149.627365877677,154.33956909179688,137827700,0.0,0.0,147.78241620744978,145.22638244628905,144.24566667344834,0.0285360126985805,0.046813958350151,0.1033597675905948,0.0152392290405171,0.0111041623724108,73586400.0,1.8730050661535285,72.2993338638336,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-19 05:00:00+00:00,154.12448394226502,157.41913113659675,153.02953515610952,156.9596405029297,117305600,0.0,0.0,149.54635402134485,145.8083460489909,144.38153839111328,0.0169760187005216,0.0853840499036804,0.1251528058523439,0.0103816285620281,0.0113135587028784,81031900.0,1.447647161179733,78.90280715232092,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-22 05:00:00+00:00,158.06437288139423,161.99447854129045,157.3995867561447,157.4191436767578,117467900,0.0,0.0,151.38291713169642,146.40855509440104,144.54515177408854,0.0029275243773225,0.0889295588580818,0.1291578823631909,0.0098014551282412,0.0112819590388999,91955885.71428572,1.277437535265357,78.27702973495832,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152002,32.275,16.6,21.8,1,1,0,0.0,AAPL
