Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_7,MA_30,MA_90,Return_1d,Return_7d,Return_30d,Volatility_7d,Volatility_30d,Volume_MA7,Volume_Ratio,RSI_14,Price_above_MA30,Price_above_MA90,MA_cross,market_cap,pe_ratio,revenue,profit_margins,debt_to_equity,operating_margins,earnings_growth,revenue_growth,current_ratio,return_on_equity,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,high_debt,strong_roe,healthy_current_ratio,financial_health_score,ticker
2021-11-11 18:30:00+00:00,3068.232015188849,3092.867049870975,3050.466681553837,3085.778564453125,1747259,0.0,0.0,3063.9690290178573,3149.3080891927084,3096.456716579861,0.01085072988541369,0.012011368099262398,-0.06832575633326021,0.005267818046016228,0.015652734088155935,1531952.2857142857,1.140544007991297,54.559210677207794,0,0,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
2021-11-14 18:30:00+00:00,3087.4851985153277,3123.8910051396083,3087.4851985153277,3109.626220703125,1809157,0.0,0.0,3071.6015276227677,3143.035709635417,3098.847572157118,0.00772824613039802,0.01748168065830602,-0.05705971351767003,0.005745540348856313,0.01575169526977144,1570740.5714285714,1.1517860001251456,59.43997597903965,0,1,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
2021-11-15 18:30:00+00:00,3123.3654399590746,3129.0976327693324,3099.7367297100145,3112.338623046875,2013204,0.0,0.0,3077.571114676339,3138.174112955729,3101.83701171875,0.0008722599281199006,0.013608991475615895,-0.04476352085476998,0.005682584279900077,0.015639881504839723,1811342.4285714286,1.1114430757235536,61.811817127342884,0,1,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
2021-11-16 18:30:00+00:00,3107.263099990461,3117.983533699684,3068.5818539674124,3082.146484375,1632914,0.0,0.0,3079.9651227678573,3131.051236979167,3104.368484157986,-0.00970078848371514,0.005466862368568082,-0.0648352919032239,0.007153830272445362,0.015513520043301959,1683747.0,0.9698095972851029,54.731445197660705,0,0,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
2021-11-17 18:30:00+00:00,3076.239463289162,3081.227917908715,3020.624646710882,3041.71533203125,2136598,0.0,0.0,3076.214529854911,3120.8337565104166,3106.6100341796873,-0.013117855542790213,-0.008557500503525106,-0.09154792885429097,0.008878430407528391,0.01525410678209053,1734305.0,1.2319620827939721,58.502530828258266,0,0,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
2021-11-21 18:30:00+00:00,3044.078434976218,3076.939893428129,3010.735821786596,3026.57568359375,3167936,0.0,0.0,3072.9765625,3110.7638020833333,3109.170952690972,-0.004977339029089811,-0.007433249159927269,-0.09075644058162347,0.008784245034142922,0.01524951537400026,1970226.0,1.6079048799477826,59.743065057058,0,0,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
2021-11-22 18:30:00+00:00,3014.8489143573643,3046.3100671183884,2982.2938396390264,3031.6953125,2153461,0.0,0.0,3069.9823172433034,3098.4770345052084,3111.9344970703123,0.0016915581969425553,-0.0068660613779548685,-0.10840314304911491,0.008810222362698452,0.014562182914662278,2094361.2857142857,1.028218490615175,47.45242975290486,0,0,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
2021-11-23 18:30:00+00:00,3038.6524730061487,3056.8991758736497,2996.4708870125883,3013.361083984375,2161746,0.0,0.0,3059.636962890625,3084.3344482421876,3114.5480658637152,-0.006047516859636559,-0.023468139063174798,-0.12342122846180636,0.00720693186208074,0.01429919159470956,2153573.714285714,1.003794755508054,41.87201731243335,0,0,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
2021-11-24 18:30:00+00:00,3013.8857114671077,3030.600921852468,3005.2657359705536,3015.635986328125,1849619,0.0,0.0,3046.209786551339,3077.5479817708333,3116.925453016493,0.0007549385156133681,-0.030225573012356288,-0.06324307221784131,0.005753453590893085,0.008917255875831193,2159354.0,0.8565612678606658,40.58492522417528,0,0,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
2021-11-25 18:30:00+00:00,2997.3459336245774,3054.229871051029,2985.881546926754,3016.4677734375,1941251,0.0,0.0,3032.5139508928573,3071.742781575521,3119.356722005208,0.0002758247723353424,-0.030803476491745196,-0.054583685795056125,0.005666804936461131,0.008834646546779906,2149075.0,0.9032960692390912,36.6058288656077,0,0,0,7574465806336,15.384333,2670210056192,0.18429,10.389,0.25288,0.122,0.096,2.228,0.48395002,18.429000000000002,25.288,9.6,12.2,1,1,1,0.0,TCS.NS
