Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_7,MA_30,MA_90,Return_1d,Return_7d,Return_30d,Volatility_7d,Volatility_30d,Volume_MA7,Volume_Ratio,RSI_14,Price_above_MA30,Price_above_MA90,MA_cross,market_cap,pe_ratio,revenue,profit_margins,debt_to_equity,operating_margins,earnings_growth,revenue_growth,current_ratio,return_on_equity,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,high_debt,strong_roe,healthy_current_ratio,financial_health_score,ticker
2021-11-09 05:00:00+00:00,146.84107977637362,148.0435691533501,146.70421118808,147.43743896484375,56787900,0.0,0.0,147.0762176513672,143.04082794189452,143.73617536756728,0.0024593425188210727,0.00821149270907462,0.06426654521403008,0.006194169027534502,0.010495009372348396,62269871.428571425,0.9119643046820854,56.16655715953052,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-10 05:00:00+00:00,146.66511965093986,146.7726603269792,144.54364896685252,144.61207580566406,65187100,0.0,0.0,146.9612819126674,143.21348368326824,143.80481753879124,-0.019163132370017544,-0.005532724786422416,0.03714826761066781,0.009762823749911265,0.0111522680317013,60926842.85714286,1.069924140872461,46.05295646850089,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-11 05:00:00+00:00,145.62883774477925,146.0883134852804,144.37744845730748,144.56320190429688,41000000,0.0,0.0,146.69154357910156,143.42778879801432,143.84529876708984,-0.0003379655612776311,-0.012892800742500654,0.04654285828852278,0.009148974186291113,0.010977449375519288,56909414.28571428,0.7204431905441706,48.14519785658776,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-12 05:00:00+00:00,145.11066161989166,147.03660782102534,144.18190939663026,146.6357879638672,63804000,0.0,0.0,146.51288277762276,143.67375844319662,143.92321302625868,0.01433688540561251,-0.008456663327790603,0.05298911599376188,0.010208598824504018,0.011162229175760726,58236914.28571428,1.0955937618358902,54.27263505218754,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-15 05:00:00+00:00,147.00727451410145,148.48351596746593,146.08829332480207,146.6455535888672,59222800,0.0,0.0,146.40953063964844,144.03426971435547,143.9809833102756,6.659782809914638e-05,-0.0049092066495092235,0.0796239489027406,0.010161753364474935,0.009999268557102328,58069514.28571428,1.0198604332836556,52.54081980929699,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-16 05:00:00+00:00,146.58690654221206,148.102247003654,146.00031832566742,147.62319946289062,59256200,0.0,0.0,146.37042672293526,144.36326599121094,144.0562227037218,0.006666727016929164,-0.0018507985444112807,0.07164900954285547,0.01043936957996407,0.009792207307595833,57182700.0,1.0362609670407308,56.5043812739124,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-17 05:00:00+00:00,147.6232038564801,151.53375230300938,147.61343285568483,150.05752563476562,88807000,0.0,0.0,146.79639761788505,144.74444529215495,144.14616309271918,0.01649013285670553,0.020273883919655677,0.08249316078466085,0.011798050992312807,0.010105388905616571,62009285.71428572,1.4321564742607673,53.36571973798682,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-18 05:00:00+00:00,150.2726099643279,155.12168178008048,149.627365877677,154.33956909179688,137827700,0.0,0.0,147.78241620744978,145.22638244628905,144.24566667344834,0.028536012698580526,0.04681395835015101,0.10335976759059484,0.015239229040517176,0.011104162372410837,73586400.0,1.8730050661535285,72.2993338638336,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-19 05:00:00+00:00,154.12448394226502,157.41913113659675,153.02953515610952,156.9596405029297,117305600,0.0,0.0,149.54635402134485,145.8083460489909,144.38153839111328,0.016976018700521678,0.08538404990368043,0.1251528058523439,0.010381628562028108,0.011313558702878482,81031900.0,1.447647161179733,78.90280715232092,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-22 05:00:00+00:00,158.06437288139423,161.99447854129045,157.3995867561447,157.4191436767578,117467900,0.0,0.0,151.38291713169642,146.40855509440104,144.54515177408854,0.0029275243773225768,0.08892955885808185,0.12915788236319092,0.009801455128241255,0.011281959038899963,91955885.71428572,1.277437535265357,78.27702973495832,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
2021-11-23 05:00:00+00:00,157.51687668201387,158.18167763297342,155.5029467463392,157.80039978027344,96041900,0.0,0.0,152.97786167689733,147.06377512613932,144.75567372639975,0.002421917021086628,0.07613838321077071,0.14229086733458574,0.010402059576173838,0.011009147502294217,96561300.0,0.9946210334782154,77.02883827893983,1,1,1,4532958920704,37.319225,451442016256,0.27152002,79.548,0.32275,0.218,0.166,1.07,1.4147099,27.152001999999996,32.275,16.6,21.8,1,1,0,0.0,AAPL
